Torneo,PJ_FR,PG_FR,PE_FR,PP_FR,GF_FR,GC_FR,DIF_FR,PTS,POS,EQS,Tipo_Torneo,Año,Efectividad,Decadas,PJ_L,PG_L,PE_L,PP_L,GF_L,GC_L,DIF_L,Puestoalcanzado,Campeon
1945-46,30,5,4,21,58,133,-75,14,16,16,Liga,1945,23.33333333333333,Decada 1940,0,0,0,0,0,0,0,No Califico,N
1956-57,24,4,7,13,23,46,-23,15,13,13,Liga,1956,31.25,Decada 1950,0,0,0,0,0,0,0,No Califico,N
1960-61,26,7,7,12,31,44,-13,21,13,14,Liga,1960,40.38461538461539,Decada 1960,0,0,0,0,0,0,0,No Califico,N
1961-62,26,7,5,14,37,47,-10,19,13,14,Liga,1961,36.53846153846153,Decada 1960,0,0,0,0,0,0,0,No Califico,N
1962-63,26,8,12,6,42,38,4,28,5,14,Liga,1962,53.84615384615385,Decada 1960,0,0,0,0,0,0,0,No Califico,N
1963-64,26,12,8,6,40,26,14,32,3,14,Liga,1963,61.53846153846154,Decada 1960,0,0,0,0,0,0,0,No Califico,N
1964-65,30,17,3,10,45,27,18,37,3,16,Liga,1964,61.66666666666667,Decada 1960,0,0,0,0,0,0,0,No Califico,N
1965-66,30,13,7,10,41,37,4,33,4,16,Liga,1965,55.00000000000001,Decada 1960,0,0,0,0,0,0,0,No Califico,N
1966-67,30,10,10,10,35,34,1,30,8,16,Liga,1966,50.0,Decada 1960,0,0,0,0,0,0,0,No Califico,N
1967-68,30,6,9,15,30,45,-15,21,14,16,Liga,1967,35.0,Decada 1960,0,0,0,0,0,0,0,No Califico,N
1968-69,30,10,8,12,37,46,-9,28,11,16,Liga,1968,46.66666666666666,Decada 1960,0,0,0,0,0,0,0,No Califico,N
1969-70,30,9,10,11,39,41,-2,28,9,16,Liga,1969,46.66666666666666,Decada 1960,0,0,0,0,0,0,0,No Califico,N
México 70,28,7,11,10,29,41,-12,25,13,16,Liga,1970,44.642857142857146,Decada 1970,0,0,0,0,0,0,0,No Califico,N
1970-71,34,15,10,9,46,37,9,40,3,18,Liga,1970,58.82352941176471,Decada 1970,0,0,0,0,0,0,0,No Califico,N
1971-72,34,14,12,8,41,37,4,40,3,18,Liga,1971,58.82352941176471,Decada 1970,3,1,0,2,3,5,-2,Semifinal,N
1972-73,34,10,12,12,31,38,-7,32,11,18,Liga,1972,47.05882352941176,Decada 1970,0,0,0,0,0,0,0,No Califico,N
1973-74,34,22,4,8,65,36,29,48,2,18,Liga,1973,70.58823529411765,Decada 1970,2,1,0,1,5,6,-1,Semifinal,N
1974-75,38,15,14,9,72,55,17,44,7,20,Liga,1974,57.89473684210527,Decada 1970,0,0,0,0,0,0,0,No Califico,N
1975-76,38,16,12,10,47,37,10,44,5,20,Liga,1975,57.89473684210527,Decada 1970,4,2,1,1,9,5,4,Semifinal,N
1976-77,38,10,12,16,51,59,-8,32,15,20,Liga,1976,42.10526315789473,Decada 1970,0,0,0,0,0,0,0,No Califico,N
1977-78,38,15,8,15,63,56,7,38,10,20,Liga,1977,50.0,Decada 1970,0,0,0,0,0,0,0,No Califico,N
1978-79,38,14,12,12,52,43,9,40,9,20,Liga,1978,52.63157894736842,Decada 1970,6,1,4,1,8,8,0,Ronda grupal,N
1979-80,38,9,16,13,40,50,-10,34,12,20,Liga,1979,44.73684210526316,Decada 1970,0,0,0,0,0,0,0,No Califico,N
1980-81,38,12,14,12,50,55,-5,38,10,20,Liga,1980,50.0,Decada 1980,0,0,0,0,0,0,0,No Califico,N
1981-82,38,13,14,11,49,56,-7,40,10,20,Liga,1981,52.63157894736842,Decada 1980,2,1,0,1,3,5,-2,Cuartos de final,N
1982-83,38,9,13,16,33,47,-14,31,18,20,Liga,1982,40.78947368421053,Decada 1980,0,0,0,0,0,0,0,No Califico,N
1983-84,38,14,11,13,54,48,6,39,11,20,Liga,1983,51.31578947368421,Decada 1980,2,0,1,1,1,2,-1,Cuartos de final,N
1984-85,38,10,12,16,50,68,-18,32,15,20,Liga,1984,42.10526315789473,Decada 1980,0,0,0,0,0,0,0,No Califico,N
Prode 85,8,1,3,4,10,20,-10,5,17,20,Liga,1985,31.25,Decada 1980,0,0,0,0,0,0,0,No Califico,N
México 86,18,13,3,2,43,18,25,29,1,20,Liga,1986,80.55555555555556,Decada 1980,6,4,1,1,11,2,9,Final,Y
1986-87,40,15,9,16,48,55,-7,39,12,21,Liga,1986,48.75,Decada 1980,2,0,1,1,3,4,-1,Cuartos de final,N
1987-88,38,9,13,16,55,65,-10,31,16,20,Liga,1987,40.78947368421053,Decada 1980,0,0,0,0,0,0,0,No Califico,N
1988-89,38,7,15,16,44,66,-22,29,17,20,Liga,1988,38.15789473684211,Decada 1980,0,0,0,0,0,0,0,No Califico,N
1989-90,38,15,12,11,57,51,6,42,4,20,Liga,1989,55.26315789473685,Decada 1980,0,0,0,0,0,0,0,No Califico,N
1990-91,38,19,9,10,62,42,20,47,2,20,Liga,1990,61.8421052631579,Decada 1990,2,1,0,1,1,4,-3,Cuartos de final,N
1991-92,38,12,13,13,41,49,-8,37,13,20,Liga,1991,48.68421052631579,Decada 1990,0,0,0,0,0,0,0,No Califico,N
1992-93,38,15,15,8,51,39,12,45,5,20,Liga,1992,59.210526315789465,Decada 1990,6,2,2,2,5,6,-1,Final,N
1993-94,38,12,12,14,56,71,-15,36,13,20,Liga,1993,47.368421052631575,Decada 1990,0,0,0,0,0,0,0,No Califico,N
1994-95,36,9,15,12,37,52,-15,33,11,19,Liga,1994,45.83333333333333,Decada 1990,2,1,0,1,2,2,0,Reclasificación,N
1995-96,34,13,12,9,52,47,5,51,5,18,Liga,1995,50.0,Decada 1990,2,0,2,0,2,2,0,Cuartos de final,N
Invierno 1996,17,5,4,8,15,21,-6,19,11,18,Liga,1996,37.25490196078432,Decada 1990,2,1,0,1,3,6,-3,Reclasificación,N
Verano 1997,17,5,3,9,25,38,-13,18,14,18,Clausura,1997,35.294117647058826,Decada 1990,0,0,0,0,0,0,0,No Califico,N
Invierno 1997,17,6,4,7,22,22,0,22,9,18,Apertura,1997,43.13725490196079,Decada 1990,0,0,0,0,0,0,0,No Califico,N
Verano 1998,17,4,6,7,20,25,-5,18,14,18,Clausura,1998,35.294117647058826,Decada 1990,0,0,0,0,0,0,0,No Califico,N
Invierno 1998,17,4,7,6,20,30,-10,19,13,18,Apertura,1998,37.25490196078432,Decada 1990,0,0,0,0,0,0,0,No Califico,N
Verano 1999,17,4,2,11,25,38,-13,14,17,18,Clausura,1999,27.450980392156865,Decada 1990,0,0,0,0,0,0,0,No Califico,N
Invierno 1999,17,6,2,9,29,35,-6,20,13,18,Apertura,1999,39.21568627450981,Decada 1990,0,0,0,0,0,0,0,No Califico,N
Verano 2000,17,5,6,6,20,31,-11,21,12,18,Clausura,2000,41.17647058823529,Decada 2000,0,0,0,0,0,0,0,No Califico,N
Invierno 2000,17,5,5,7,23,30,-7,20,12,18,Apertura,2000,39.21568627450981,Decada 2000,0,0,0,0,0,0,0,No Califico,N
Verano 2001,17,7,7,3,25,18,7,28,3,18,Clausura,2001,54.90196078431373,Decada 2000,2,0,1,1,2,6,-4,Cuartos de final,N
Invierno 2001,18,4,8,6,23,31,-8,20,13,19,Apertura,2001,37.03703703703704,Decada 2000,0,0,0,0,0,0,0,No Califico,N
Verano 2002,18,5,5,8,21,28,-7,20,15,19,Clausura,2002,37.03703703703704,Decada 2000,0,0,0,0,0,0,0,No Califico,N
Apertura 2002,19,5,7,7,18,20,-2,22,14,20,Apertura,2002,38.59649122807017,Decada 2000,0,0,0,0,0,0,0,No Califico,N
Clausura 2003,19,9,7,3,31,22,9,34,3,20,Clausura,2003,59.64912280701754,Decada 2000,6,3,2,1,12,7,5,Final,Y
Apertura 2003,19,5,7,7,29,29,0,22,14,20,Apertura,2003,38.59649122807017,Decada 2000,0,0,0,0,0,0,0,No Califico,N
Clausura 2004,19,2,12,5,28,30,-2,18,17,20,Clausura,2004,31.57894736842105,Decada 2000,0,0,0,0,0,0,0,No Califico,N
Apertura 2004,17,8,3,6,36,34,2,27,6,18,Apertura,2004,52.94117647058824,Decada 2000,6,3,1,2,11,8,3,Final,N
Clausura 2005,17,8,3,6,24,25,-1,27,7,18,Clausura,2005,52.94117647058824,Decada 2000,2,0,2,0,3,3,0,Cuartos de final,N
Apertura 2005,17,10,5,2,32,20,12,35,2,18,Apertura,2005,68.62745098039215,Decada 2000,6,3,1,2,12,8,4,Final,N
Clausura 2006,17,5,3,9,17,21,-4,18,16,18,Clausura,2006,35.294117647058826,Decada 2000,0,0,0,0,0,0,0,No Califico,N
Apertura 2006,17,7,6,4,27,21,6,27,5,18,Apertura,2006,52.94117647058824,Decada 2000,2,0,1,1,1,2,-1,Cuartos de final,N
Clausura 2007,17,5,4,8,17,23,-6,19,15,18,Clausura,2007,37.25490196078432,Decada 2000,0,0,0,0,0,0,0,No Califico,N
Apertura 2007,17,3,5,9,18,25,-7,14,17,18,Apertura,2007,27.450980392156865,Decada 2000,0,0,0,0,0,0,0,No Califico,N
Clausura 2008,17,6,6,5,27,22,5,24,8,18,Clausura,2008,47.05882352941176,Decada 2000,4,1,3,0,11,8,3,Semifinal,N
Apertura 2008,17,5,4,8,18,26,-8,19,14,18,Apertura,2008,37.25490196078432,Decada 2000,0,0,0,0,0,0,0,No Califico,N
Clausura 2009,17,7,5,5,28,22,6,26,4,18,Clausura,2009,50.98039215686274,Decada 2000,2,0,1,1,3,5,-2,Cuartos de final,N
Apertura 2009,17,9,3,5,27,16,11,30,5,18,Apertura,2009,58.82352941176471,Decada 2000,6,4,2,0,11,6,5,Final,Y
Bicentenario 2010,17,10,6,1,30,15,15,36,1,18,Clausura,2010,70.58823529411765,Decada 2010,2,0,0,2,1,3,-2,Cuartos de final,N
Apertura 2010,17,9,5,3,29,20,9,32,2,18,Apertura,2010,62.74509803921568,Decada 2010,6,2,3,1,11,7,4,Final,Y
Clausura 2011,17,7,5,5,23,20,3,26,7,18,Clausura,2011,50.98039215686274,Decada 2010,2,1,0,1,3,3,0,Cuartos de final,N
Apertura 2011,17,7,3,7,27,26,1,24,11,18,Apertura,2011,47.05882352941176,Decada 2010,0,0,0,0,0,0,0,No Califico,N
Clausura 2012,17,9,5,3,32,15,17,32,2,18,Clausura,2012,62.74509803921568,Decada 2010,6,2,3,1,8,6,2,Final,N
Apertura 2012,17,5,8,4,23,23,0,23,7,18,Apertura,2012,45.09803921568628,Decada 2010,2,0,1,1,1,2,-1,Cuartos de final,N
Clausura 2013,17,7,2,8,22,22,0,23,9,18,Clausura,2013,45.09803921568628,Decada 2010,4,1,2,1,5,5,0,Semifinal,N
Apertura 2013,17,5,5,7,22,23,-1,20,11,18,Apertura,2013,39.21568627450981,Decada 2010,0,0,0,0,0,0,0,No Califico,N
Clausura 2014,17,6,5,6,20,20,0,23,10,18,Clausura,2014,45.09803921568628,Decada 2010,0,0,0,0,0,0,0,No Califico,N
Apertura 2014,17,8,3,6,23,20,3,27,6,18,Apertura,2014,52.94117647058824,Decada 2010,4,1,1,2,2,4,-2,Semifinal,N
Clausura 2015,17,7,3,7,24,27,-3,24,12,18,Clausura,2015,47.05882352941176,Decada 2010,0,0,0,0,0,0,0,No Califico,N
Apertura 2015,17,6,5,6,32,29,3,23,9,18,Apertura,2015,45.09803921568628,Decada 2010,0,0,0,0,0,0,0,No Califico,N
Clausura 2016,17,12,1,4,38,23,15,37,1,18,Clausura,2016,72.54901960784314,Decada 2010,6,2,1,3,9,8,1,Final,N
Apertura 2016,17,6,7,4,30,21,9,25,9,18,Apertura,2016,49.01960784313725,Decada 2010,0,0,0,0,0,0,0,No Califico,N
Clausura 2017,17,7,6,4,26,18,8,27,2,18,Clausura,2017,52.94117647058824,Decada 2010,2,0,0,2,1,6,-5,Cuartos de final,N
Apertura 2017,17,11,4,2,29,12,17,37,1,18,Apertura,2017,72.54901960784314,Decada 2010,6,4,1,1,13,5,8,Final,N
Clausura 2018,17,8,5,4,30,21,9,29,3,18,Clausura,2018,56.86274509803921,Decada 2010,2,0,1,1,2,3,-1,Cuartos de final,N
Apertura 2018,17,9,3,5,25,19,6,30,5,18,Apertura,2018,58.82352941176471,Decada 2010,4,3,0,1,4,1,3,Semifinal,N
