#,Torneo,PJ,PG,PE,PP,GF,GC,DIF,PTS,POS,EQS,EFE
1,1945-46,30,5,4,21,58,133,-75,14,16°,16,23.33%
2,1956-57,24,4,7,13,23,46,-23,15,13°,13,31.25%
3,1960-61,26,7,7,12,31,44,-13,21,13°,14,40.38%
4,1961-62,26,7,5,14,37,47,-10,19,13°,14,36.54%
5,1962-63,26,8,12,6,42,38,+4,28,5°,14,53.85%
6,1963-64,26,12,8,6,40,26,+14,32,3°,14,61.54%
7,1964-65,30,17,3,10,45,27,+18,37,3°,16,61.67%
8,1965-66,30,13,7,10,41,37,+4,33,4°,16,55%
9,1966-67,30,10,10,10,35,34,+1,30,8°,16,50%
10,1967-68,30,6,9,15,30,45,-15,21,14°,16,35%
11,1968-69,30,10,8,12,37,46,-9,28,11°,16,46.67%
12,1969-70,30,9,10,11,39,41,-2,28,9°,16,46.67%
13,México 70,28,7,11,10,29,41,-12,25,13°,16,44.64%
14,1970-71,34,15,10,9,46,37,+9,40,3°,18,58.82%
15,1971-72,34,14,12,8,41,37,+4,40,3°,18,58.82%
16,1972-73,34,10,12,12,31,38,-7,32,11°,18,47.06%
17,1973-74,34,22,4,8,65,36,+29,48,2°,18,70.59%
18,1974-75,38,15,14,9,72,55,+17,44,7°,20,57.89%
19,1975-76,38,16,12,10,47,37,+10,44,5°,20,57.89%
20,1976-77,38,10,12,16,51,59,-8,32,15°,20,42.11%
21,1977-78,38,15,8,15,63,56,+7,38,10°,20,50.00%
22,1978-79,38,14,12,12,52,43,+9,40,9°,20,52.63%
23,1979-80,38,9,16,13,40,50,-10,34,12°,20,44.74%
24,1980-81,38,12,14,12,50,55,-5,38,10°,20,50.00%
25,1981-82,38,13,14,11,49,56,-7,40,10°,20,52.63%
26,1982-83,38,9,13,16,33,47,-14,31,18°,20,40.79%
27,1983-84,38,14,11,13,54,48,+6,39,11°,20,51.32%
28,1984-85,38,10,12,16,50,68,-18,32,15°,20,42.11%
29,Prode 85,8,1,3,4,10,20,-10,5,17°,20,31.25%
30,México 86,18,13,3,2,43,18,+25,29,1°,20,80.56%
31,1986-87,40,15,9,16,48,55,-7,39,12°,21,48.75%
32,1987-88,38,9,13,16,55,65,-10,31,16°,20,40.79%
33,1988-89,38,7,15,16,44,66,-22,29,17°,20,38.16%
34,1989-90,38,15,12,11,57,51,+6,42,4°,20,55.26%
35,1990-91,38,19,9,10,62,42,+20,47,2°,20,61.84%
36,1991-92,38,12,13,13,41,49,-8,37,13°,20,48.68%
37,1992-93,38,15,15,8,51,39,+12,45,5°,20,59.21%
38,1993-94,38,12,12,14,56,71,-15,36,13°,20,47.37%
39,1994-95,36,9,15,12,37,52,-15,33,11°,19,45.83%
40,1995-96,34,13,12,9,52,47,+5,51,5°,18,50.00%
41,Invierno 1996,17,5,4,8,15,21,-6,19,11°,18,37.25%
42,Verano 1997,17,5,3,9,25,38,-13,18,14°,18,35.29%
43,Invierno 1997,17,6,4,7,22,22,0,22,9°,18,43.14%
44,Verano 1998,17,4,6,7,20,25,-5,18,14°,18,35.29%
45,Invierno 1998,17,4,7,6,20,30,-10,19,13°,18,37.25%
46,Verano 1999,17,4,2,11,25,38,-13,14,17°,18,27.45%
47,Invierno 1999,17,6,2,9,29,35,-6,20,13°,18,39.22%
48,Verano 2000,17,5,6,6,20,31,-11,21,12°,18,41.18%
49,Invierno 2000,17,5,5,7,23,30,-7,20,12°,18,39.22%
50,Verano 2001,17,7,7,3,25,18,+7,28,3°,18,54.90%
51,Invierno 2001,18,4,8,6,23,31,-8,20,13°,19,37.04%
52,Verano 2002,18,5,5,8,21,28,-7,20,15°,19,37.04%
53,Apertura 2002,19,5,7,7,18,20,-2,22,14°,20,38.60%
54,Clausura 2003,19,9,7,3,31,22,+9,34,3°,20,59.65%
55,Apertura 2003,19,5,7,7,29,29,0,22,14°,20,38.60%
56,Clausura 2004,19,2,12,5,28,30,-2,18,17°,20,31.58%
57,Apertura 2004,17,8,3,6,36,34,+2,27,6°,18,52.94%
58,Clausura 2005,17,8,3,6,24,25,-1,27,7°,18,52.94%
59,Apertura 2005,17,10,5,2,32,20,+12,35,2°,18,68.63%
60,Clausura 2006,17,5,3,9,17,21,-4,18,16°,18,35.29%
61,Apertura 2006,17,7,6,4,27,21,+6,27,5°,18,52.94%
62,Clausura 2007,17,5,4,8,17,23,-6,19,15°,18,37.25%
63,Apertura 2007,17,3,5,9,18,25,-7,14,17°,18,27.45%
64,Clausura 2008,17,6,6,5,27,22,+5,24,8°,18,47.06%
65,Apertura 2008,17,5,4,8,18,26,-8,19,14°,18,37.25%
66,Clausura 2009,17,7,5,5,28,22,+6,26,4°,18,50.98%
67,Apertura 2009,17,9,3,5,27,16,+11,30,5°,18,58.82%
68,Bicentenario 2010,17,10,6,1,30,15,+15,36,1°,18,70.59%
69,Apertura 2010,17,9,5,3,29,20,+9,32,2°,18,62.75%
70,Clausura 2011,17,7,5,5,23,20,+3,26,7°,18,50.98%
71,Apertura 2011,17,7,3,7,27,26,+1,24,11°,18,47.06%
