#,Torneo,PJ,PG,PE,PP,GF,GC,DIF,EFE,Puestoalcanzado,Campeon
1,1971-72,3,1,0,2,3,5,-2,33.33%,Semifinal,N
2,1973-74,2,1,0,1,5,6,-1,50.00%,Semifinal,N
3,1975-76,4,2,1,1,9,5,4,58.33%,Semifinal,N
4,1978-79,6,1,4,1,8,8,0,38.89%,Ronda grupal,N
5,1981-82,2,1,0,1,3,5,-2,50.00%,Cuartos de final,N
6,1983-84,2,0,1,1,1,2,-1,16.67%,Cuartos de final,N
7,México 86,6,4,1,1,11,2,9,72.22%,Final,Y
8,1986-87,2,0,1,1,3,4,-1,16.67%,Cuartos de final,N
9,1990-91,2,1,0,1,1,4,-3,50.00%,Cuartos de final,N
10,1992-93,6,2,2,2,5,6,-1,44.44%,Final,N
11,1994-95,2,1,0,1,2,2,0,50.00%,Reclasificación,N
12,1995-96,2,0,2,0,2,2,0,33.33%,Cuartos de final,N
13,Invierno 1996,2,1,0,1,3,6,-3,50.00%,Reclasificación,N
14,Verano 2001,2,0,1,1,2,6,-4,16.67%,Cuartos de final,N
15,Clausura 2003,6,3,2,1,12,7,5,61.11%,Final,Y
16,Apertura 2004,6,3,1,2,11,8,3,55.56%,Final,N
17,Clausura 2005,2,0,2,0,3,3,0,33.33%,Cuartos de final,N
18,Apertura 2005,6,3,1,2,12,8,4,55.56%,Final,N
19,Apertura 2006,2,0,1,1,1,2,-1,16.67%,Cuartos de final,N
20,Clausura 2008,4,1,3,0,11,8,3,50.00%,Semifinal,N
21,Clausura 2009,2,0,1,1,3,5,-2,16.67%,Cuartos de final,N
22,Apertura 2009,6,4,2,0,11,6,5,77.78%,Final,Y
23,Bicentenario 2010,2,0,0,2,1,3,-2,0.00%,Cuartos de final,N
24,Apertura 2010,6,2,3,1,11,7,4,50.00%,Final,Y
25,Clausura 2011,2,1,0,1,3,3,0,50.00%,Cuartos de final,N
26,Clausura 2012,6,2,3,1,8,6,2,50.00%,Final,N
27,Apertura 2012,2,0,1,1,1,2,-1,16.67%,Cuartos de final,N
28,Clausura 2013,4,1,2,1,5,5,0,41.67%,Semifinal,N
29,Apertura 2014,4,1,1,2,2,4,-2,33.33%,Semifinal,N
30,Clausura 2016,6,2,1,3,9,8,1,38.89%,Final,N
31,Clausura 2017,2,0,0,2,1,6,-5,0.00%,Cuartos de final,N
32,Apertura 2017,6,4,1,1,13,5,8,72.22%,Final,N
33,Clausura 2018,2,0,1,1,2,3,-1,16.67%,Cuartos de final,N
34,Apertura 2018,4,3,0,1,4,1,3,75.00%,Semifinal,N
35,Clausura 2019,4,2,0,2,2,2,0,50.00%,Semifinal,N
36,Apertura 2019,6,4,1,1,12,7,5,72.22%,Final,Y
37,Apertura 2020,1,0,1,0,2,2,0,33.33%,Reclasificación,N
38,Clausura 2021,2,0,1,1,2,3,-1,16.66%,Cuartos de final,N
39,Apertura 2021,3,1,2,0,5,2,3,55.55%,Cuartos de final,N
40,Clausura 2022,1,0,1,0,2,2,0,33.33%,Reclasificación,N
41,Apertura 2022,4,1,1,2,5,6,-1,37.50%,Semifinal,N
42,Clausura 2023,4,1,2,1,3,2,-1,37.50%,Semifinal,N
43,Apertura 2023,2,0,1,1,1,2,-1,40.00%,Cuartos de final,N
44,Clausura 2024,4,2,1,1,5,4,1,53.33%,Semifinal,N
45,Apertura 2024,6,3,1,2,14,9,5,55.56%,Final,N
